LOCALIZAÇÃO,IMG_JPEG,NOTA_MEDIA,AREA_DISP,AREA_REST,AREA_TOTAL,AREA_M5,SIGLA,REGIÕES,SIGLA_1
Acre – AC,AC,"1,564",  118.596 ,  48.205 ,  166.801 ,  2.648 ,AC,Norte,AC
Alagoas – AL,AL,"3,658",  16.287 ,  12.006 ,  28.293 ,  13.957 ,AL,Nordeste,AL
Amapá – AP,AP,"2,124",  132.998 ,  9.924 ,  142.922 ,  4.870 ,AP,Norte,AP
Amazonas – AM,AM,"2,010",  1.487.130 ,  82.616 ,  1.569.746 ,  17.715 ,AM,Norte,AM
Bahia – BA,BA,"3,854",  542.581 ,  37.559 ,  580.140 ,  160.989 ,BA,Nordeste,BA
Ceará – CE,CE,"4,767",  132.561 ,  17.379 ,  149.940 ,  75.821 ,CE,Nordeste,CE
Distrito Federal – DF,DF,"5,036",  4.538 ,  1.456 ,  5.994 ,  3.986 ,DF,Centro-Oeste,DF
Espírito Santo – ES,ES,"2,489",  25.618 ,  23.386 ,  49.004 ,  11.244 ,ES,Sudeste,ES
Goiás – GO,GO,"3,902",  329.907 ,  24.947 ,  354.854 ,  109.671 ,GO,Centro-Oeste,GO
Maranhão – MA,MA,"3,396",  284.662 ,  47.423 ,  332.085 ,  75.729 ,MA,Nordeste,MA
Mato Grosso – MT,MT,"2,839",  901.367 ,  28.341 ,  929.708 ,  100.129 ,MT,Centro-Oeste,MT
Mato Grosso do Sul – MS,MS,"2,632",  348.390 ,  33.136 ,  381.526 ,  26.367 ,MS,Centro-Oeste,MS
Minas Gerais – MG,MG,"3,698",  496.807 ,  122.905 ,  619.712 ,  198.257 ,MG,Sudeste,MG
Pará – PA,PA,"2,527",  1.184.181 ,  70.007 ,  1.254.188 ,  104.901 ,PA,Norte,PA
Paraíba – PB,PB,"3,539",  38.146 ,  18.924 ,  57.070 ,  20.471 ,PB,Nordeste,PB
Paraná – PR,PR,"5,648",  192.539 ,  26.881 ,  219.420 ,  153.105 ,PR,Sul,PR
Pernambuco – PE,PE,"4,134",  77.698 ,  21.684 ,  99.382 ,  42.953 ,PE,Nordeste,PE
Piauí – PI,PI,"3,487",  231.611 ,  23.072 ,  254.683 ,  54.998 ,PI,Nordeste,PI
Rio de Janeiro – RJ,RJ,"3,731",  28.252 ,  19.030 ,  47.282 ,  23.726 ,RJ,Sudeste,RJ
Rio Grande do Norte – RN,RN,"3,984",  36.332 ,  16.887 ,  53.219 ,  23.539 ,RN,Nordeste,RN
Rio Grande do Sul – RS,RS,"3,883",  258.843 ,  62.078 ,  320.921 ,  112.321 ,RS,Sul,RS
Rondônia – RO,RO,"2,902",  230.977 ,  11.789 ,  242.766 ,  34.752 ,RO,Norte,RO
Roraima – RR,RR,"2,198",  221.057 ,  3.404 ,  224.461 ,  1.707 ,RR,Norte,RR
Santa Catarina – SC,SC,"3,185",  65.832 ,  41.848 ,  107.680 ,  33.639 ,SC,Sul,SC
São Paulo – SP,SP,"4,782",  224.662 ,  43.884 ,  268.546 ,  145.587 ,SP,Sudeste,SP
Sergipe – SE,SE,"5,191",  18.367 ,  4.000 ,  22.367 ,  14.666 ,SE,Nordeste,SE
Tocantins – TO,TO,"3,458",  268.684 ,  14.017 ,  282.701 ,  64.709 ,TO,Norte,TO
Brasil - BR,BR,"2,511",  7.898.623 ,  866.788 ,  8.765.411 ,  1.632.457 ,BR,,BR